"Location Management","Location Management"
"Add Location","Add Location"
"Edit Location item '%s'","Edit Location item '%s'"
"Add Location item","Add Location item"
"Location","Location"
"Store View","Store View"
"Country","Country"
"City","City"
"Zip","Zip"
"Address","Address"
"Position","Position"
"Status","Status"
"Delete","Delete"
"Location Information","Location Information"
"General Information","General Information"
"Location on Map","Location on Map"
"Available Products","Available Products"
"Available Categories","Available Categories"
"Location name","Location name"
"Phone Number","Phone Number"
"E-mail Address","E-mail Address"
"Website URL","Website URL"
"Location photo","Location photo"
"Latitude","Latitude"
"Longitude","Longitude"
"Auto Fill","Auto Fill"
"Product Access","Product Access"
"Products, Available in Store","Products, Available in Store"
"All Products","All Products"
"Selected Products","Selected Products"
"ID","ID"
"Name","Name"
"SKU","SKU"
"Price","Price"
"Required files:","Required files:"
"Import","Import"
"Total of %d location(s) have been deleted","Total of %d location(s) have been deleted"
"Please select locations","Please select locations"
"Location was saved successfully","Location was saved successfully"
"Unable to find item to save","Unable to find item to save"
"Location was deleted successfully","Location was deleted successfully"
"Disabled","Disabled"
"Enabled","Enabled"
"can be found at the following stores:","can be found at the following stores:"
"Cancel this search","Cancel this search"
"Filter","Filter"
"Current Location","Current Location"
"Enter a location","Enter a location"
"Search Radius","Search Radius"
"Search Radius Measurement","Search Radius Measurement"
"Search","Search"
"Locate Nearby","Locate Nearby"
"Processing...","Processing..."
